                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.71848,                 0.4631,                0.98524,                0.92195,                0.78924,                0.85525,                 0.6017,                 1.1549,                0.90858,                 1.3302,              0.0007075,              0.0007075,              0.0007075
                     54,                0.73482,                0.46419,                0.99735,                 0.8918,                0.82827,                0.85035,                0.60604,                 1.1786,                0.90759,                 1.3622,             0.00069335,             0.00069335,             0.00069335
                     55,                0.71439,                0.44154,                 0.9987,                0.88132,                0.83785,                0.86173,                0.60409,                 1.1464,                 0.8488,                 1.3157,              0.0006792,              0.0006792,              0.0006792
                     56,                0.67792,                0.43261,                0.97382,                0.88047,                 0.7996,                0.84098,                0.60392,                   1.19,                 1.0787,                 1.3665,             0.00066506,             0.00066506,             0.00066506
                     57,                0.71464,                0.44905,                0.98019,                0.94492,                0.76499,                0.84238,                0.59409,                 1.2015,                 1.0516,                 1.3686,             0.00065091,             0.00065091,             0.00065091
                     58,                0.69374,                0.43443,                0.98427,                0.87487,                0.81259,                0.84467,                0.59705,                 1.1539,                0.93344,                 1.3023,             0.00063676,             0.00063676,             0.00063676
                     59,                0.69357,                0.42565,                0.98014,                0.93763,                0.78194,                0.84003,                0.57953,                 1.1856,                0.88185,                 1.3391,             0.00062262,             0.00062262,             0.00062262
                     60,                0.69412,                0.42801,                0.97675,                 0.8973,                 0.8128,                0.84262,                0.58958,                 1.1766,                0.83798,                  1.348,             0.00060847,             0.00060847,             0.00060847
                     61,                0.67581,                0.39339,                0.98199,                0.89734,                0.78572,                0.85674,                0.61556,                 1.1711,                0.97814,                 1.3456,             0.00059432,             0.00059432,             0.00059432
                     62,                0.68155,                0.40889,                0.98699,                0.90812,                0.78429,                0.85112,                 0.6142,                  1.139,                0.97045,                 1.3123,             0.00058017,             0.00058017,             0.00058017
                     63,                0.68301,                0.40432,                0.97401,                0.85766,                0.82421,                0.84692,                0.58083,                 1.2369,                0.89222,                 1.3943,             0.00056603,             0.00056603,             0.00056603
                     64,                0.68539,                0.41401,                0.97655,                0.86928,                0.82262,                0.85583,                 0.6007,                 1.2082,                0.87065,                 1.3734,             0.00055188,             0.00055188,             0.00055188
                     65,                0.66339,                0.39501,                0.94935,                0.91214,                0.78629,                0.86811,                0.61145,                 1.1757,                0.92919,                 1.3665,             0.00053773,             0.00053773,             0.00053773
